company_name,ticker,rating_date,rating_numerical_score,currentRatio,quickRatio,cashRatio,debtRatio,debtEquityRatio,GDP,INTEREST_RATE,INFLATION,volatility,momentum,sentiment_proxy
RH,RH,2022-09-29,12,2.906151587109098,2.12838634351046,2.0473538154354656,0.6197467001896951,2.934081418330874,22066.784,3.08,296.421,0.0348758078866299,0.1350702218885153,0
RH,RH,2022-12-22,12,2.906151587109098,2.12838634351046,2.0473538154354656,0.6197467001896951,2.934081418330874,22249.459,4.33,298.808,0.0341684910338904,0.0641941534146028,0
RH,RH,2023-05-31,12,2.836050308530847,1.810276385397749,1.7021974710290269,0.7059990518504455,4.777034923361809,22539.418,5.08,303.316,0.0252501557527004,-0.1643186053960992,0
RIO TINTO PLC,RIO,2022-03-24,15,1.9349014017581367,0.8789237668161435,0.9179535915102558,0.1315017104649354,0.2630852387618603,21903.85,0.33,287.467,0.0208479871715279,0.2564781038119952,0
RIO TINTO PLC,RIO,2022-04-01,16,1.9349014017581367,0.8789237668161435,0.9179535915102558,0.1315017104649354,0.2630852387618603,21919.222,0.33,288.582,0.0212020125179032,0.3204009722273295,1
RIO TINTO PLC,RIO,2022-08-09,16,1.9349014017581367,0.8789237668161435,0.9179535915102558,0.1315017104649354,0.2630852387618603,22066.784,2.33,295.162,0.0234304204710563,-0.0623661168228955,0
RIO TINTO PLC,RIO,2023-04-26,16,1.635180556752564,0.8789237668161435,0.5005601999482893,0.1268005869345072,0.2423470395386499,22539.418,4.83,302.858,0.0191765322043981,-0.1917584759656371,0
RIO TINTO PLC,RIO,2023-08-07,17,1.635180556752564,0.8789237668161435,0.5005601999482893,0.1268005869345072,0.2423470395386499,22780.933,5.33,306.138,0.0182448780131095,0.0032894973755133,1
RLJ LODGING TRUST,RLJ,2022-04-01,9,3.841048164232136,3.436794315041453,3.2833645874457167,0.491839348250992,1.0562375710701226,21919.222,0.33,288.582,0.024788834114973,0.0241339714564348,0
RLJ LODGING TRUST,RLJ,2022-08-09,9,3.841048164232136,3.436794315041453,3.2833645874457167,0.491839348250992,1.0562375710701226,22066.784,2.33,295.162,0.0297806549387688,0.0144648530599686,0
